Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2020-09-03,16900.0,16900.0,16900.0,"16.900,00","0,00",108.0,1.825.200,12.715.200,16900.0,53.021316429468975,HOLD,50.0,50.0,HOLD,-50.0,HOLD,-14.64922308311043,HOLD,6.62919079322883,BUY
2020-09-04,16500.0,16509.0,16500.0,"16.505,00","-2,34",9.0,148.545,148.545,16500.0,44.2698330996679,HOLD,30.76923076923077,43.5897435897436,HOLD,-69.23076923076923,HOLD,-115.59780318000881,BUY,4.390229674376712,BUY
2020-09-09,16600.0,16600.0,16600.0,"16.600,00","0,58",22.0,365.200,365.200,16600.0,46.64100738928091,HOLD,38.46153846153846,39.74358974358975,HOLD,-61.53846153846154,HOLD,-93.82441486346958,HOLD,6.416452244776735,BUY
2020-09-10,16700.0,16800.0,16700.0,"16.733,33","0,80",24.0,401.600,401.600,16700.0,48.97881288979948,HOLD,66.66666666666667,45.2991452991453,HOLD,-33.333333333333336,HOLD,-63.34218943172323,HOLD,7.610649410910042,BUY
2020-09-11,17000.0,17000.0,16800.0,"16.896,45","0,97",141.0,2.382.400,2.382.400,17000.0,55.30530116766893,HOLD,100.0,68.37606837606837,SELL,-0.0,SELL,-13.10255543521608,HOLD,22.719831874186482,HOLD
2020-09-15,17450.0,17450.0,17399.0,"17.404,45","3,01",20.0,348.089,348.089,17450.0,62.76382889063249,HOLD,100.0,88.8888888888889,SELL,-0.0,SELL,115.22752139211106,SELL,24.32060429614164,HOLD
2020-09-17,17500.0,17700.0,17399.0,"17.471,43","0,38",90.0,1.572.429,1.572.429,17500.0,63.49281230210419,HOLD,87.5,95.83333333333333,SELL,-12.5,SELL,145.24642996054868,SELL,31.386538057278187,HOLD
2020-09-18,17500.0,17600.0,17200.0,"17.377,77","-0,54",368.0,6.395.020,6.395.020,17500.0,63.49281230210419,HOLD,87.5,91.66666666666667,SELL,-12.5,SELL,129.82401465678856,SELL,23.739548813543678,HOLD
2020-09-21,17200.0,17200.0,17200.0,"17.200,00","-1,02",10.0,172.000,172.000,17200.0,55.88023880004072,HOLD,58.333333333333336,77.77777777777779,HOLD,-41.666666666666664,HOLD,68.23453419066958,HOLD,45.71097930656296,HOLD
2020-09-24,17100.0,17100.0,17100.0,"17.100,00","-0,58",40.0,684.000,684.000,17100.0,53.57440642925824,HOLD,50.0,65.27777777777779,HOLD,-50.0,HOLD,46.669199594731985,HOLD,41.12248673013188,HOLD
2020-09-28,17100.0,17100.0,17100.0,"17.100,00","0,00",10.0,171.000,171.000,17100.0,53.57440642925824,HOLD,50.0,52.77777777777779,HOLD,-50.0,HOLD,43.93841216945956,HOLD,40.644911452718105,HOLD
2020-09-29,17600.0,17600.0,17500.0,"17.582,50","2,82",60.0,1.054.950,1.054.950,17600.0,62.53829399874523,HOLD,91.66666666666667,63.88888888888889,SELL,-8.333333333333334,SELL,156.59943192032495,SELL,45.26019393892119,HOLD
2020-10-02,17460.0,17500.0,17460.0,"17.499,34","-0,47",61.0,1.067.460,1.067.460,17460.0,59.097559238315,HOLD,80.0,73.8888888888889,HOLD,-20.0,HOLD,111.95160068957759,SELL,41.96069502438872,HOLD
2020-10-05,17300.0,17300.0,17300.0,"17.300,00","-1,14",10.0,173.000,173.000,17300.0,55.349588496623866,HOLD,66.66666666666667,79.44444444444446,HOLD,-33.333333333333336,HOLD,62.88616279047601,HOLD,41.47000617889931,HOLD
2020-10-07,17600.0,17600.0,17600.0,"17.600,00","1,73",10.0,176.000,176.000,17600.0,60.41839800493,HOLD,91.66666666666667,79.44444444444446,SELL,-8.333333333333334,SELL,120.49526757545073,SELL,42.15813909741664,HOLD
2020-10-09,17599.0,17599.0,17560.0,"17.585,78","-0,08",59.0,1.037.561,1.037.561,17599.0,60.39378661204755,HOLD,90.81818181818181,83.05050505050507,SELL,-9.181818181818182,SELL,102.84297427516846,SELL,39.794768176241746,HOLD
2020-10-13,17500.0,17500.0,17500.0,"17.500,00","-0,49",10.0,175.000,175.000,17500.0,57.88007223003898,HOLD,80.0,87.4949494949495,HOLD,-20.0,HOLD,74.91605658611766,HOLD,37.94707476234215,HOLD
2020-10-15,17300.0,17351.0,17300.0,"17.304,35","-1,12",232.0,4.014.610,4.014.610,17300.0,53.07405397609657,HOLD,55.55555555555556,75.45791245791247,HOLD,-44.44444444444444,HOLD,30.76506676290179,HOLD,28.749389152679058,HOLD
2020-10-16,17300.0,17300.0,17299.0,"17.299,89","-0,03",89.0,1.539.690,1.539.690,17300.0,53.07405397609657,HOLD,33.333333333333336,56.296296296296305,HOLD,-66.66666666666667,HOLD,23.295226339867085,HOLD,17.121393809739686,BUY
2020-10-19,17250.0,17300.0,17250.0,"17.285,42","-0,08",96.0,1.659.400,1.659.400,17250.0,51.82633655765792,HOLD,25.0,37.96296296296297,HOLD,-75.0,HOLD,11.870727159727446,HOLD,14.220666965522184,BUY
2020-10-20,17300.0,17300.0,17300.0,"17.300,00","0,08",18.0,311.400,311.400,17300.0,53.01585181567378,HOLD,40.0,32.77777777777779,HOLD,-60.0,HOLD,16.270990799010637,HOLD,8.341302534381796,BUY
2020-10-21,17301.0,17301.0,17299.0,"17.300,53","0,00",133.0,2.300.970,2.300.970,17301.0,53.04082623900337,HOLD,40.2,35.06666666666667,HOLD,-59.8,HOLD,7.118730850861518,HOLD,26.748692817146065,HOLD
2020-10-22,17500.0,17500.0,17368.0,"17.456,52","0,90",112.0,1.955.130,1.955.130,17500.0,57.84313598229937,HOLD,80.0,53.400000000000006,HOLD,-20.0,HOLD,53.115995719106685,HOLD,35.90247671109947,HOLD
2020-10-26,17600.0,17600.0,17450.0,"17.505,18","0,28",195.0,3.413.510,3.413.510,17600.0,60.053867805937884,HOLD,100.0,73.4,SELL,-0.0,SELL,82.97393932691904,HOLD,48.81765054559846,HOLD
2020-10-27,17600.0,17699.0,17599.0,"17.600,68","0,55",405.0,7.128.277,7.128.277,17600.0,60.05386780593789,HOLD,77.95100222717149,85.98366740905716,HOLD,-22.048997772828507,HOLD,112.6202129229654,SELL,62.86086376904206,HOLD
2020-10-28,17579.0,17600.0,17579.0,"17.593,14","-0,04",187.0,3.289.917,3.289.917,17579.0,59.29653676709861,HOLD,73.27394209354121,83.74164810690424,HOLD,-26.7260579064588,HOLD,82.54084091617467,HOLD,54.161195783887806,HOLD
2020-10-29,17560.0,17560.0,17499.0,"17.525,24","-0,39",603.0,10.567.720,10.567.720,17560.0,58.57677426935644,HOLD,69.04231625835189,73.42242019302154,HOLD,-30.957683741648108,HOLD,61.130203236306286,HOLD,40.524146376562484,HOLD
2020-10-30,18750.0,18750.0,18129.0,"18.630,76","6,31",75.0,1.397.307,45.512.307,18750.0,77.22402727690859,SELL,100.0,80.7720861172977,SELL,-0.0,SELL,366.42681791246974,SELL,42.82538282968068,HOLD
2020-11-02,19000.0,19099.0,19000.0,"19.030,07","2,14",564.0,10.732.959,10.732.959,19000.0,79.32928019793383,SELL,94.64575446187128,87.89602357340773,SELL,-5.354245538128718,SELL,368.306486721811,SELL,55.00906355499905,HOLD
2020-11-03,19099.0,19200.0,18999.0,"19.018,72","-0,06",127.0,2.415.377,2.415.377,19099.0,80.11320084219926,SELL,94.82051282051282,96.48875576079472,SELL,-5.17948717948718,SELL,259.4392344611997,SELL,58.2720703237783,HOLD
2020-11-04,19030.0,19100.0,19030.0,"19.074,44","0,29",180.0,3.433.400,3.433.400,19030.0,77.89587488796124,SELL,91.28205128205128,93.58277285481181,SELL,-8.717948717948717,SELL,183.7511632497675,SELL,54.77238668333454,HOLD
2020-11-05,18700.0,19003.0,18505.0,"18.784,04","-1,52",426.0,8.001.999,49.823.299,18700.0,68.17706101700095,HOLD,74.35897435897436,86.82051282051283,HOLD,-25.641025641025642,HOLD,114.03627420842336,SELL,51.03897860352754,HOLD
2020-11-06,18700.0,18899.0,18700.0,"18.749,76","-0,18",106.0,1.987.475,1.987.475,18700.0,68.17706101700094,HOLD,74.35897435897436,80.00000000000001,HOLD,-25.641025641025642,HOLD,99.37225884818324,HOLD,54.0417692968822,HOLD
2020-11-10,18700.0,18700.0,18600.0,"18.680,00","-0,37",75.0,1.401.000,1.401.000,18700.0,68.17706101700094,HOLD,73.69805365597054,74.1386674579731,HOLD,-26.301946344029457,HOLD,76.64829961636191,HOLD,54.2803609639171,HOLD
2020-11-11,18501.0,18501.0,18501.0,"18.501,00","-0,96",5.0,92.505,18.078.405,18501.0,62.3207434660399,HOLD,63.22987901104682,70.42896900866391,HOLD,-36.77012098895318,HOLD,52.71014373941066,HOLD,53.94905430093096,HOLD
2020-11-11,18501.0,18501.0,18501.0,"18.501,00","-0,96",5.0,92.505,18.078.405,18501.0,62.3207434660399,HOLD,61.84497816593886,66.25763694431875,HOLD,-38.15502183406114,HOLD,47.27616040299981,HOLD,52.051048931888154,HOLD
2020-11-12,18301.0,18500.0,18301.0,"18.397,29","-0,56",227.0,4.176.184,4.176.184,18301.0,56.64890151061615,HOLD,48.628571428571426,57.90114286851904,HOLD,-51.371428571428574,HOLD,29.86233795051666,HOLD,46.69688892761456,HOLD
2020-11-16,18350.0,18410.0,18350.0,"18.396,30","-0,01",138.0,2.538.690,2.538.690,18350.0,57.665470826841535,HOLD,50.02939447383892,53.500981356116405,HOLD,-49.97060552616108,HOLD,25.87582602362654,HOLD,45.869482741986005,HOLD
